Sample,Sample protolith type,U-Pb data? (Yes/No),Used in MDS?,Lu-Hf data? (Yes/No),Country,Region,Domain,Group/Strat unit,Lithology,Longitude,Latitude,Location method,Analytical method,Mineral,Reference,DOI URL,age,ageerr,
Dwcomp_16,Magmatic,No,,No,Africa,Africa - Tanzania Craton,Irumide Belt,Ntendele metatonalite,Ntendele metatonalite,33,-10,Georeferenced,Pb evaporation single zircon,,Vrána et al. (2004),,1329,1,
Dwcomp_17,Magmatic,No,,No,Africa,Africa - Tanzania Craton,Irumide Belt,Mivula Syenite,Mivula Syenite,33,-10,Georeferenced,Pb evaporation single zircon,,Vrána et al. (2004),,1360,1,
Dwcomp_18,Magmatic,No,,No,Africa,Africa - Tanzania Craton,Irumide Belt,Biotite metatonalite,Biotite metatonalite,33,-10,Georeferenced,Pb evaporation single zircon,,Vrána et al. (2004),,1961,1,
DA14-146,Magmatic,Yes,No,Yes,Madagascar,Madagascar - central,Ikalamavony Domain,Dabolava,Granite,45.53569444,-19.79425,Reported,ICP-MS,Zircon,Archibald et al. 2016,http://dx.doi.org/10.1016/j.precamres.2016.05.014,774,11,
WB1451,Magmatic,Yes,No,Yes,Madagascar,Madagascar - central,Antananarivo Domain,Tsaratanana Complex,Foliated granite,47.604,-16.58586111,Reported,,Zircon,BGS et al. 2008/Archibald et al. 2016,http://dx.doi.org/10.1016/j.precamres.2016.05.014,774,16,
E13.01,Magmatic,No,,Yes,Africa,Ethiopia,,,,36.155067,9.031083,,,,"Blades, et al., 2015, PR-270",,780,22,
DA13-055,Magmatic,Yes,No,Yes,Madagascar,Madagascar - central,Itremo Group,Itremo Group,Qtz monzodiorite,47.03583333,-20.62802778,Reported,ICP-MS,Zircon,Archibald et al. 2016,http://dx.doi.org/10.1016/j.precamres.2016.05.014,780,7,
E13.03,Magmatic,No,,Yes,Africa,Ethiopia,,,,36.155067,9.031083,,,,"Blades, et al., 2015, PR-270",,782,33,
NM25,Magmatic,No,,Yes,Africa,Israel,,,,34.90942827,29.52497583,,,,"Morag, et al., 2011, PRECAMB-186",,790,9,
TN-03,Magmatic,Yes,No,No,India,India - Dharwar Craton,Eastern Dharwar Craton,Near Arcot hills,Granite-gneiss,79.262330,12.914310,Reported,ICP-MS,Zircon,Glorie et al. 2014,http://dx.doi.org/10.1016/j.precamres.2014.05.017,2574,7,
TN-07,Magmatic,Yes,No,No,India,India - Dharwar Craton,Eastern Dharwar Craton,Near Pallikonda village,Granite,78.970030,12.897030,Reported,ICP-MS,Zircon,Glorie et al. 2014,http://dx.doi.org/10.1016/j.precamres.2014.05.017,2530,9,
DA13-065,Magmatic,Yes,No,Yes,Madagascar,Madagascar - central,Antananarivo Domain,Imorona-Itsindro,Granite,46.71313889,-20.5755,Reported,ICP-MS,Zircon,Archibald et al. 2016,http://dx.doi.org/10.1016/j.precamres.2016.05.014,791,17,
