Sample,Sample protolith type,U-Pb data? (Yes/No),Used in MDS?,Lu-Hf data? (Yes/No),Country,Region,Domain,Group/Strat unit,Lithology,Longitude,Latitude,Location method,Analytical method,Mineral,Reference,DOI URL,age,ageerr,
BT/06/2/70,Magmatic,No,,No,Madagascar,Madagascar - Antongil-Masora,A/M,,Potassic granite,50.3434,-15.2989,,,zircon,Schofield et al. 2010,,2532,7,2
BT/06/P2/62,Magmatic,No,,No,Madagascar,Madagascar - Antongil-Masora,A/M,,Metagabbro,50.2405,-15.3086,,,zircon,Schofield et al. 2010,,2147,6,2
BT30192,Magmatic,No,,No,Madagascar,Madagascar - Antongil-Masora,A/M,,Bi-hb tonalitic orthogneiss,49.8271,-16.4042,,,zircon,Schofield et al. 2010,,2546,11,2
DS30507,Magmatic,No,,No,Madagascar,Madagascar - Antongil-Masora,A/M,,granitic migmatite gneiss,49.5315,-17.0503,,,zircon,Schofield et al. 2010,,3176,5,2
GW126,Magmatic,No,,No,Madagascar,Madagascar - Antongil-Masora,A/M,,granite,50.0274,-14.9074,,,zircon,Schofield et al. 2010,,2546,10,2
MH073,Magmatic,No,,No,Madagascar,Madagascar - Antongil-Masora,A/M,,Granitogneiss,49.1463,-18.0806,,,zircon,Schofield et al. 2010,,3352,8,2
BT30202,Magmatic,Yes,No,Yes,Madagascar,Madagascar - Antongil-Masora,Antongil Domain,Mananara Group,Dacitic greenschist,49.6982,-16.1065,Reported,SHRIMP/ICP-MS,Zircon,BGS et al. 2008/Armistead et al. 2017,NA,2541,9,
TN-24,Magmatic,Yes,No,Yes,India,India - Southern Granulite Terrane,Palghat Cauvery Shear System,Sankari-Tiruchengode,Granite,77.896600,11.500990,Reported,ICP-MS,Zircon,Glorie et al. 2014,http://dx.doi.org/10.1016/j.precamres.2014.05.017,559,4,
IA11-87,Magmatic,No,No,Yes,India,India - Dharwar Craton,Western Dharwar Craton,Gadag Greenstone Belt,Deformed Granite,75.656941,15.373058,Georeferenced,SHRIMP,Zircon,Mohan et al. 2014,http://dx.doi.org/10.1016/j.precamres.2013.12.017,2552,6,
LA-307b,Magmatic,No,,No,Madagascar,Madagascar - Antongil-Masora,A/M,,Gneiss tonalitique à biotite. Magmatic tonalite,49.9172,-16.8473,,,zircon,Tucker et al. 1999,,3187,2,2
LA-308,Magmatic,No,,No,Madagascar,Madagascar - Antongil-Masora,A/M,,Granite à biotite déformé intrusif in 307b.,50.0134,-16.7264,,,zircon,Tucker et al. 1999,,2522,4,2
ALF-6,Magmatic,No,,No,Madagascar,Madagascar - Antongil-Masora,A/M,,Metagabbro,48.208,-20.437,,,zircon,Tucker et al. 2011a,,806,8,2
RT-02M-105A,Magmatic,No,,No,Madagascar,Madagascar - Antongil-Masora,A/M,,Tonalite,47.8172,-21.1955,,,zircon,Tucker et al. 2011a,,3313,8,2
RT-02O-52A,Magmatic,No,,No,Madagascar,Madagascar - Antongil-Masora,A/M,,Tonalite,48.9772,-17.7475,,,zircon,Tucker et al. 2011a,,3231,6,2
RT-02O-76,Magmatic,No,,No,Madagascar,Madagascar - Antongil-Masora,A/M,,Tonalite,47.2722,-17.701,,,zircon,Tucker et al. 2011a,,3320,14,2
TAM-08-09A,Magmatic,No,,No,Madagascar,Madagascar - Antongil-Masora,A/M,,Metarhyolite,49.5452,-17.0119,,,zircon,Tucker et al. 2011a,,3178,2,2
TAM-08-09D,Magmatic,No,,No,Madagascar,Madagascar - Antongil-Masora,A/M,,Granitic dyke,49.5452,-17.0119,,,zircon,Tucker et al. 2011a,,2502,8,2
IA11-94,Magmatic,No,No,Yes,India,India - Dharwar Craton,Western Dharwar Craton,Gadag Greenstone Belt,coarse-grained granitoid,75.721379,15.295128,Georeferenced,SHRIMP,Zircon,Mohan et al. 2014,http://dx.doi.org/10.1016/j.precamres.2013.12.017,2556,11,
S?268,Magmatic,No,,No,India,India - Southern Granulite Terrane,,,,77.76666667,11.5,,,zircon,"Ghosh et al., 2004",,563,9,
IA11-121,Magmatic,No,No,Yes,India,India - Dharwar Craton,Western Dharwar Craton, ,Granite,75.151777,15.206687,Georeferenced,SHRIMP,Zircon,Mohan et al. 2014,http://dx.doi.org/10.1016/j.precamres.2013.12.017,2565,9,
KLR6B,Magmatic,No,No,Yes,India,India - Dharwar Craton,Eastern Dharwar Craton, ,quartz diorite,78.223750,12.970444,Reported,ICP-MS,Zircon,Yang et al. 2015,http://dx.doi.org/10.1016/j.jseaes.2015.05.023,2564,13,
KLR6A,Magmatic,No,No,Yes,India,India - Dharwar Craton,Eastern Dharwar Craton, ,porphyritic granite,78.223750,12.970444,Reported,ICP-MS,Zircon,Yang et al. 2015,http://dx.doi.org/10.1016/j.jseaes.2015.05.023,2576,10,
KLR-3,Magmatic,No,No,Yes,India,India - Dharwar Craton,Eastern Dharwar Craton, ,"aphibolite, metavolcanic",78.239000,12.946944,Reported,ICP-MS,Zircon,Yang et al. 2015,http://dx.doi.org/10.1016/j.jseaes.2015.05.023,2581,31,
102_051,Magmatic,Yes,,Yes,Africa,Africa - Tanzania Craton,,,Very coarse-grained syenite,35.47874866,-6.829709793,,,zircon,Thomas et al. 2016,,2612,14,
AMB14,Magmatic,Yes,,Yes,Africa,Africa - Tanzania Craton,,,Coarse-grained granitic orthogneiss,35.73879607,-5.049913893,,,zircon,Thomas et al. 2016,,2635,10,
AMB213,Magmatic,Yes,,Yes,Africa,Africa - Tanzania Craton,,,Dark-coloured coarse-grained granitic orthogneiss,34.76041046,-5.012137683,,,zircon,Thomas et al. 2016,,2651,5,
F024,Magmatic,No,,Yes,Africa,Africa - Tanzania Craton,,,Coarse-grained charnockite,37.88249277,-5.749095025,,,zircon,Thomas et al. 2016,,2670,6,
SK106,Magmatic,Yes,,Yes,Africa,Africa - Tanzania Craton,,,Granite dyke,37.76235386,-5.956142348,,,zircon,Thomas et al. 2016,,2673,12,
ASM108,Magmatic,No,,Yes,Africa,Africa - Tanzania Craton,,,Banded garnet-bearing felsic granulite gneiss,35.83425299,-6.320120659,,,zircon,Thomas et al. 2016,,2674,14,
RK449,Magmatic,Yes,No,Yes,Madagascar,Madagascar - central,Anaboriana-Manampotsy,Manampotsy Group,Migmatitic biotite-gneiss,47.7448,-21.0714,Reported,SHRIMP/ICP-MS,Zircon,BGS et al. 2008/Armistead et al. 2017,NA,2675,9,
FMP78AW,Magmatic,Yes,,Yes,Africa,Africa - Tanzania Craton,,,Granite,35.59553955,-6.693720887,,,zircon,Thomas et al. 2016,,2678,34,
SK256,Magmatic,No,,Yes,Africa,Africa - Tanzania Craton,,,Granitic dyke,34.35685077,-4.834044214,,,zircon,Thomas et al. 2016,,2683,19,
S?415,Magmatic,No,,No,India,India - Southern Granulite Terrane,,,,77.04444444,9.738888889,,,zircon,"Ghosh et al., 2004",,568,2,
DA13-056,Magmatic,Yes,No,No,Madagascar,Madagascar - central,Itremo Group,Itremo Group,Granite,47.00255556,-20.56163889,Reported,ICP-MS,Zircon,Archibald et al. 2016,http://dx.doi.org/10.1016/j.precamres.2016.05.014,822,28,
PP1535,Magmatic,No,,No,Madagascar,Madagascar - central,ANT,,Charnockitic granodiorite with faint undulose banding,47.5572,-16.9049,,,zircon,BGS et al. 2008,,2715,50,2
PP429a,Magmatic,No,,No,Madagascar,Madagascar - central,ANT,,Orthogneiss,47.7691,-19.6071,,,zircon,BGS et al. 2008,,2709,42,2
PP737a,Magmatic,No,,No,Madagascar,Madagascar - central,ANT,,Gneiss à Biotite-Amphibole,48.7512,-18.9775,,,zircon,BGS et al. 2008,,2508,6,2
PP-D112,Magmatic,No,,No,Madagascar,Madagascar - central,ANT,,Métagranodiorite,47.8268,-16.991,,,zircon,BGS et al. 2008,,2651,16,2
PPD156,Magmatic,No,,No,Madagascar,Madagascar - central,ANT,,Granitogneiss,47.7366,-17.0672,,,zircon,BGS et al. 2008,,2485,13,2
WB223,Magmatic,No,,No,Madagascar,Madagascar - central,ANT,,Migmatitic plagioclase-biotite-amphibole orthogneiss,48.2348,-19.0231,,,zircon,BGS et al. 2008,,2539,9,2
BT30156,Magmatic,No,,No,Madagascar,Madagascar - central,ANT,,"Coarse-grained, bt-bearing granitic augen gneiss",47.9247,-15.6861,,,zircon,BGS et al. 2008,,731,13,2
BT30162,Magmatic,No,,No,Madagascar,Madagascar - central,ANT,,Coarse-grained leucocratic biotite-bearing granitic orthogneiss,47.6863,-16.1096,,,zircon,BGS et al. 2008,,816,8,2
PP65,Magmatic,No,,No,Madagascar,Madagascar - central,ANT,,Diorite,46.4584,-17.2651,,,zircon,BGS et al. 2008,,769,8,2
PPD112,Magmatic,No,,No,Madagascar,Madagascar - central,ANT,,Métagranodiorite,47.8268,-16.991,,,zircon,BGS et al. 2008,,779,16,2
PP-D135,Magmatic,No,,No,Madagascar,Madagascar - central,ANT,,Granite Alcalin,47.8138,-17.0668,,,zircon,BGS et al. 2008,,575,16,2
RK/06/174,Magmatic,No,,No,Madagascar,Madagascar - central,ANT,,Brickaville migmatite,48.9504,-19.0005,,,zircon,BGS et al. 2008,,838,7,2
RK250A,Magmatic,No,,No,Madagascar,Madagascar - central,ANT,,Biotite granite with xenoliths,48.0315,-18.063,,,zircon,BGS et al. 2008,,553,10,2
RS07-152,Magmatic,No,,No,Madagascar,Madagascar - central,ANT,,Métagranodiorite,48.9426,-18.6599,,,zircon,BGS et al. 2008,,823,6,2
RS240A,Magmatic,No,,No,Madagascar,Madagascar - central,ANT,,Granitoid gneiss,47.5696,-20.1856,,,zircon,BGS et al. 2008,,776,4,2
WB004,Magmatic,No,,No,Madagascar,Madagascar - central,ANt,,Quartzofeldspathic gneiss,48.3212,-18.9889,,,zircon,BGS et al. 2008,,800,5,2
WB0926,Magmatic,No,,No,Madagascar,Madagascar - central,ANT,,Métagranite,47.8823,-18.5698,,,zircon,BGS et al. 2008,,540,8,2
WB926,Magmatic,No,,No,Madagascar,Madagascar - central,ANT,,Kfs-porphyritic garnet-amphibole gneissose monzogranite,47.9294,-18.5706,,,zircon,BGS et al. 2008,,540,8,2
BDW417,Magmatic,No,,No,Madagascar,Madagascar - central,TSAR,,Gneiss à Amphibole-Biotite,47.6669,-16.5264,,,zircon,BGS et al. 2008,,551,5,2
RT07-029,Magmatic,No,,No,Madagascar,Madagascar - central,TSAR,,Métagranite alcalin,47.2371,-17.0841,,,zircon,BGS et al. 2008,,759,5,2
WB2412,Magmatic,No,,No,Madagascar,Madagascar - central,TSAR,,Tonalitic orthogneiss,48.1073,-14.9355,,,zircon,BGS et al. 2008,,551,6,2
AMB203,Magmatic,Yes,,Yes,Africa,Africa - Tanzania Craton,,,Dark tonalitic orthogneiss,34.60090195,-4.681115916,,,zircon,Thomas et al. 2016,,2685,17,
AMB120,Magmatic,Yes,,Yes,Africa,Africa - Tanzania Craton,,,Coarse-grained granitic orthogneiss,35.66941031,-6.547051475,,,zircon,Thomas et al. 2016,,2693,56,
102_005,Magmatic,No,,Yes,Africa,Africa - Tanzania Craton,,,Coarse-grained porphyritic granite,34.68743551,-5.109313277,,,zircon,Thomas et al. 2016,,2700,18,
AMB178_58,Magmatic,Yes,,Yes,Africa,Africa - Tanzania Craton,,,Felsic metavolcanic greenschist,32.25984168,-6.358710208,,,zircon,Thomas et al. 2016,,2725,22,
SK553,Magmatic,Yes,,Yes,Africa,Africa - Tanzania Craton,,,Granite dyke,37.43630053,-5.878005252,,,zircon,Thomas et al. 2016,,2727,12,
AMB238,Magmatic,No,,Yes,Africa,Africa - Tanzania Craton,,,Coarse-grained hornblende-bearing granite,33.16791428,-8.411796371,,,zircon,Thomas et al. 2016,,2732,5,
FMP106,Magmatic,No,,Yes,Africa,Africa - Tanzania Craton,,,Granodioritic orthogneiss,34.4862446,-4.317639217,,,zircon,Thomas et al. 2016,,2740,12,
SK390,Magmatic,No,,Yes,Africa,Africa - Tanzania Craton,,,Medium-grained granodiorite,34.6119367,-4.406503323,,,zircon,Thomas et al. 2016,,2742,6,
MS?3,Magmatic,No,,No,India,India - Southern Granulite Terrane,,,,76.96027778,11.2775,,,zircon,"Ghosh et al., 2004",,601,1,
ADR032,Magmatic,No,,No,Madagascar,Madagascar - central,ANT,,Gneiss enderbitique et/ou charnokitique leucocrate à intermédiaire à faciès malgachitique,47.5211,-17.4343,,,zircon,BRGM,,2450,13,2
APD026,Magmatic,No,,No,Madagascar,Madagascar - central,ANT,,"Migmatite rubannée et granitoïde migmatitique à biotite, amphibole",47.8322,-17.3591,,,zircon,BRGM,,2443,29,2
LDK035,Magmatic,No,,No,Madagascar,Madagascar - central,ANT,,Orthogneiss porphyroïde mylonitique,47.1576,-17.3943,,,zircon,BRGM,,2448,9,2
MNK027,Magmatic,No,,No,Madagascar,Madagascar - central,ANT,,"Gneiss migmatitique a biotite, amphibole ± clinopyroxène",47.491,-17.7421,,,zircon,BRGM,,2453,4,2
MNK029,Magmatic,No,,No,Madagascar,Madagascar - central,ANT,,"Gneiss migmatitique a biotite, amphibole ± clinopyroxène",47.5287,-17.7244,,,zircon,BRGM,,2636,6,2
MNK019,Magmatic,No,,No,Madagascar,Madagascar - central,ANT,,Granite leucocrate à biotite,47.4337,-17.7985,,,zircon,BRGM,,595,10,2
MNK025,Magmatic,No,,No,Madagascar,Madagascar - central,TSAR,,Orthogneiss granodioritique a dioritique,47.4528,-17.7399,,,zircon,BRGM,,812,6,2
TSD007,Magmatic,No,,No,Madagascar,Madagascar - central,TSAR,,"Migmatite rubannée et granitoïde migmatitique à biotite, amphibole",47.1782,-17.6588,,,zircon,BRGM,,512,5,2
MAE-1004,Magmatic,No,,No,Madagascar,Madagascar - central,ANT,,Stratoid granite,47.0221,-17.848,,,zircon,BRGM-USGS,,520,50,2
MJY-08-45B,Magmatic,No,,No,Madagascar,Madagascar - central,ANT,,Pegmatite,47.7345,-21.348,,,zircon,BRGM-USGS,,520,50,2
ITR-1001A,Magmatic,No,,No,Madagascar,Madagascar - central,ITREMO,,Boudinaged granitic vein,47.003,-20.5619,,,zircon,BRGM-USGS,,783,19,2
PD06032,Magmatic,No,,No,Madagascar,Madagascar - central,ANT,,10. Migmatitic bt gneiss - Miako or Tana or Ikalamavony ?,45.5171,-18.979,,,zircon,CGS 2009,,2465,20,2
PF06056,Magmatic,No,,No,Madagascar,Madagascar - central,ANT,,2. Miako Gneiss – leucosome (6),45.2509,-17.3665,,,zircon,CGS 2009,,2500,21,2
PF06078,Magmatic,No,,No,Madagascar,Madagascar - central,ANT,,1. Miako Gneiss - hbl-plag gneiss: paleosome (7),45.1157,-17.3417,,,zircon,CGS 2009,,2529,9,2
PF06078,Magmatic,No,,No,Madagascar,Madagascar - central,ANT,,1. Miako Gneiss - hbl-plag gneiss: paleosome (7),45.1157,-17.3417,,,zircon,CGS 2009,,2477,8,2
PF06104,Magmatic,No,,No,Madagascar,Madagascar - central,ANT,,3. Ambohipaky amphibolite (1),45.2132,-17.1214,,,zircon,CGS 2009,,2485,10,2
BY6163,Magmatic,No,,No,Madagascar,Madagascar - central,ANT,,15. Vavavato Granite gneiss,46.9212,-19.764,,,zircon,CGS 2009,,792,5.7,2
PF06087,Magmatic,No,,No,Madagascar,Madagascar - central,ANT,,6. Granitoid orthogneiss,45.3687,-17.1256,,,zircon,CGS 2009,,788,11,2
PF06090,Magmatic,No,,No,Madagascar,Madagascar - central,ANT,,7. Beda Gabbro orthogneiss (4),45.39,-17.0864,,,zircon,CGS 2009,,791.9,5.4,2
BY05049,Magmatic,No,,No,Madagascar,Madagascar - central,IKAL,,16. PA Porphyritic granite,45.5598,-19.3508,,,zircon,CGS 2009,,526.7,5,2
PD05063,Magmatic,No,,No,Madagascar,Madagascar - central,IKAL,,14. Ambatodradama granitic gneiss 1,46.1307,-19.6919,,,zircon,CGS 2009,,803,5.5,2
PD06035 ,Magmatic,No,,No,Madagascar,Madagascar - central,IKAL,,13. Ambatomiefy diorite gneiss,45.5588,-19.0071,,,zircon,CGS 2009,,800.5,7.2,2
PF06029,Magmatic,No,,No,Madagascar,Madagascar - central,IKAL,,5. Ambatomiefy diorite gneiss (3),45.089,-17.4481,,,zircon,CGS 2009,,851.6,6.4,2
PF06040,Magmatic,No,,No,Madagascar,Madagascar - central,IKAL,,8. Sheared monzonitic dyke (5b),45.254,-17.2654,,,zircon,CGS 2009,,801.8,7.5,2
PF06113,Magmatic,No,,No,Madagascar,Madagascar - central,IKAL,,Q-F Bt gneiss,45.2945,-17.1661,,,zircon,CGS 2009,,793.6,8.4,2
PF06141,Magmatic,No,,No,Madagascar,Madagascar - central,IKAL,,9. PA Porphyritic granite (8),45.1343,-17.1406,,,zircon,CGS 2009,,772,4.9,2
M98-50,Magmatic,No,,No,Madagascar,Madagascar - central,ANT,,gneiss biotite-horblende W. Kianjavato - 551 ± 2 Ma Metamorphic,47.8569,-21.3783,,,zircon,Collins 2003,,811,50,2
BSC_0576_00,Magmatic,No,,No,Madagascar,Madagascar - central,IKAL,,Amborompotsy granite - Imorona suite,46.2203,-20.5949,,,zircon,GAF-BGR 2008,,794,16,2
BSC_0578_00,Magmatic,No,,No,Madagascar,Madagascar - central,IKAL,,Amborompotsy orthogneiss - Dabalavo suite,46.151,-20.5988,,,zircon,GAF-BGR 2008,,926,13,2
SBO_0921_00,Magmatic,No,,No,Madagascar,Madagascar - central,ITREMO,,Imorona granite,47.3463,-23.7009,,,zircon,GAF-BGR 2008,,776,41,2
SBO_1492_00,Magmatic,No,,No,Madagascar,Madagascar - central,ITREMO,,Antoetra granite,46.9045,-20.6394,,,zircon,GAF-BGR 2008,,780,14,2
SBO_1516_00,Magmatic,No,,No,Madagascar,Madagascar - central,ITREMO,,Intermediate orthogneiss,46.5113,-20.5972,,,zircon,GAF-BGR 2008,,771,4,2
BT/07/12,Magmatic,No,,No,Madagascar,Madagascar - central,ANT,,Granodioritic orthogneiss,48.4581,-14.5487,,,zircon,Goodenough et al. 2010,,531,5,2
BT/07/22,Magmatic,No,,No,Madagascar,Madagascar - central,ANT,,Monzogranite,48.3935,-14.643,,,zircon,Goodenough et al. 2010,,522,6,2
BT/07/25,Magmatic,No,,No,Madagascar,Madagascar - central,ANT,,Felsic gneiss,48.3565,-14.6642,,,zircon,Goodenough et al. 2010,,527,5,2
9171,Magmatic,No,,No,Madagascar,Madagascar - central,ANT,,Charnockite du socle -  Zrc non datés à 2.5-3.0 Ga,47.4232,-17.4813,,,zircon,"Guerrot, 1991",,770,20,2
9073,Magmatic,No,,No,Madagascar,Madagascar - central,TSAR,,"Pyroxénite, intrusions basiques-ub, Bemongikely",47.4232,-17.4813,,,zircon,"Guerrot, 1991",,787,16,2
9075,Magmatic,No,,No,Madagascar,Madagascar - central,TSAR,,Granite lié aux intrusions basiques-ub,47.4232,-17.4813,,,zircon,"Guerrot, 1991",,777,13,2
9102,Magmatic,No,,No,Madagascar,Madagascar - central,TSAR,,Biotitite,47.4232,-17.4813,,,zircon,"Guerrot, 1991",,777,16,2
9172,Magmatic,No,,No,Madagascar,Madagascar - central,TSAR,,Granite post-intrusions -  Zrc non datés à 2.3-3.2 Ga,47.4232,-17.4813,,,zircon,"Guerrot, 1991",,762,17,2
9173,Magmatic,No,,No,Madagascar,Madagascar - central,TSAR,,Charnockite du socle -  Zrc non datés à 2.4-3.3 Ga,47.4232,-17.4813,,,zircon,"Guerrot, 1991",,787,9,2
MH-95I-20,Magmatic,No,,No,Madagascar,Madagascar - central,ITREMO,,Gabbro Itsindro,46.9645,-20.509,,,zircon+baddeleyite,Handke et al.  1999,,790.1,0.9,2
MH-95A-108,Magmatic,No,,No,Madagascar,Madagascar - central,ITREMO,,"Orthogneiss granitique à biotite, W. Itremo",46.5714,-20.6255,,,zircon,Handke et al.  1999,,785.1,2.2,2
MH-95A-109,Magmatic,No,,No,Madagascar,Madagascar - central,ITREMO,,"Leptynite, Leptynite W. Itremo",46.5042,-20.6292,,,zircon,Handke et al.  1999,,780.8,2.2,2
MH-95A-16,Magmatic,No,,No,Madagascar,Madagascar - central,ITREMO,,"Granite Ambohitsaony, Sud Ambato",46.8109,-20.4326,,,zircon,Handke et al.  1999,,792.4,1.7,2
HAN_1999_3,Magmatic,No,,No,Madagascar,Madagascar - central,ITREMO,,Gabbro Ranomandry,46.8625,-20.0304,,,baddeleyite,"Handke et al. , 1999",,790,1,2
HAN_1999_108,Magmatic,No,,No,Madagascar,Madagascar - central,ITREMO,,"Orthogneiss granitique Ë biotite, W. Itremo",46.5714,-20.6255,,,zircon,"Handke et al. , 1999",,785,2,2
HAN_1999_109,Magmatic,No,,No,Madagascar,Madagascar - central,ITREMO,,"Leptynite, Leptynite W. Itremo",46.5042,-20.6292,,,zircon,"Handke et al. , 1999",,781,2,2
HAN_1999_106,Magmatic,No,,No,Madagascar,Madagascar - central,ITREMO,,Gabbro Ifasina,46.6865,-20.5549,,,baddeleyite,Handke et al. 1999,,791,1,2
HAN_1999_17,Magmatic,No,,No,Madagascar,Madagascar - central,ITREMO,,"Gabbro Ambohitsaony, Sud Ambato",46.7786,-20.6351,,,baddeleyite,Handke et al. 1999,,793,2,2
MH-96I-46,Magmatic,No,,No,Madagascar,Madagascar - central,ANT,,Orthogneiss granitique Ilaka,47.1606,-20.3927,,,zircon,Handke et al. 1999,,795,8,2
HAN_1999_06,Magmatic,No,,No,Madagascar,Madagascar - central,ITREMO,,Ranomandry granite,46.8578,-20.0666,,,zircon,Handke et al. 1999,,792,2,2
HAN_1999_136,Magmatic,No,,No,Madagascar,Madagascar - central,ITREMO,,"Orthogneiss granitique Ranofotsy, Est Imorona",46.7246,-20.4283,,,zircon,Handke et al. 1999,,797,5,2
HAN_1999_16,Magmatic,No,,No,Madagascar,Madagascar - central,ITREMO,,"Granite Ambohitsaony, Sud Ambato",46.8017,-20.6052,,,zircon,Handke et al. 1999,,792,2,2
HAN_1999_64,Magmatic,No,,No,Madagascar,Madagascar - central,ITREMO,,"Imorona Granite (east), Sud Ambato",46.8258,-20.6477,,,zircon,Handke et al. 1999,,791,1,2
MH-95A-106,Magmatic,No,,No,Madagascar,Madagascar - central,ITREMO,,Gabbro Ifasina,46.6865,-20.5549,,,zircon,Handke et al. 1999,,791.2,0.8,2
MH-95A-17,Magmatic,No,,No,Madagascar,Madagascar - central,ITREMO,,"Gabbro Ambohitsaony, Sud Ambato",46.9794,-20.6355,,,zircon,Handke et al. 1999,,793.1,1.5,2
MH-95R-3,Magmatic,No,,No,Madagascar,Madagascar - central,ITREMO,,Gabbro Ranomandry,46.8625,-20.0304,,,zircon,Handke et al. 1999,,790.1,1.1,2
MH-96I-64B,Magmatic,No,,No,Madagascar,Madagascar - central,ITREMO,,"Granite à biotite d' Ambalavao, Sud Ambato",46.8258,-20.6477,,,zircon,Handke et al. 1999,,791.4,1.3,2
MH-96R-6B,Magmatic,No,,No,Madagascar,Madagascar - central,ITREMO,,Orthogneiss granitique Ranomandry,46.8578,-20.0666,,,zircon,Handke et al. 1999,,792.2,1.7,2
RC-136,Magmatic,No,,No,Madagascar,Madagascar - central,ITREMO,,"Orthogneiss granitique Ranofotsy, Est Imorona",46.7246,-20.4283,,,zircon,Handke et al. 1999,,797,5,2
21323,Magmatic,No,,No,Madagascar,Madagascar - central,ANT,,Age protolithe d'un biotite-orthogneiss -  metamorphisme a 785 ± 7 Ma,47.4721,-16.9723,,,zircon,Kabete et al.  2006,,2483,20,2
67-04,Magmatic,No,,No,Madagascar,Madagascar - central,ANT,,protolithe d'un granulite mafique -  Xenocryst 2725 Ma -  metamorphisme 2465-2390 Ma,47.4721,-16.9723,,,zircon,Kabete et al.  2006,,2676,6,2
Mad 103,Magmatic,No,,No,Madagascar,Madagascar - central,ANT,,gneiss biotite-horblende granodioritique,47.2333,-20.5514,,,zircon,Kröner  et al. 2000,,2514,6,2
Mad 69,Magmatic,No,,No,Madagascar,Madagascar - central,ANT,,Orthogneiss à biotite-hornblende,48.5666,-18.9677,,,zircon,Kroner 2000,,2528,19,2
Mad 40,Magmatic,No,,No,Madagascar,Madagascar - central,ANT,,"Charnockite, Ambositra -  âge de la syénite anté-charnockite -  VD zircon UI=789 ± 27 Ma",47.2328,-20.4538,,,zircon,Kröner et al. 1999,,789,27,2
Mad 54,Magmatic,No,,No,Madagascar,Madagascar - central,ANT,,Granite de Carion -  Zircon hérité à 2025 Ma,47.7502,-18.9011,,,zircon,Kröner et al. 1999,,556,1.7,2
Mad 44,Magmatic,No,,No,Madagascar,Madagascar - central,ITREMO,,"Orthogneiss (GM) à biotite, N. Ambositra -  âge mise en place granite",47.1654,-20.4089,,,zircon,Kröner et al. 1999,,650.9,0.9,2
Mad 65,Magmatic,No,,No,Madagascar,Madagascar - central,ANT,,gneiss Q-dioritique -  Zrc à 713 et 555 Ma,48.2662,-18.9419,,,zircon,Kröner et al. 2000,,2510,0.3,2
Mad 65,Magmatic,No,,No,Madagascar,Madagascar - central,ANT,,gneiss Q-dioritique -  Zrc à 713 et 555 Ma,48.2662,-18.9419,,,zircon,Kröner et al. 2000,,2508,13,2
Mad 89,Magmatic,No,,No,Madagascar,Madagascar - central,ANT,,Gneiss granodioritique 7 km NW Faratsiho,46.9608,-19.3975,,,zircon,Kröner et al. 2000,,2551,5,2
M-1,Magmatic,No,,No,Madagascar,Madagascar - central,ANT,,Granite,47.1493,-20.6511,,,zircon,Kröner et al. 2000,,589.1,1,2
Mad 102,Magmatic,No,,No,Madagascar,Madagascar - central,ANT,,Granitoide non déformé,47.1934,-20.4413,,,zircon,Kröner et al. 2000,,554.4,1,2
Mad 104,Magmatic,No,,No,Madagascar,Madagascar - central,ANT,,gneiss granitique à biotite -  Zrc à 1118 et 2188 Ma,47.2,-20.6175,,,zircon,Kröner et al. 2000,,551,1,2
Mad 107,Magmatic,No,,No,Madagascar,Madagascar - central,ANT,,gneiss charnockitique,47.5633,-18.9177,,,zircon,Kröner et al. 2000,,749.8,0.9,2
Mad 108,Magmatic,No,,No,Madagascar,Madagascar - central,ANT,,Dyke granitique,47.5633,-18.9177,,,zircon,Kröner et al. 2000,,517.8,1,2
Mad 117,Magmatic,No,,No,Madagascar,Madagascar - central,ANT,,Orthogneiss granitique à biotite -  Zrc à 1057 Ma,47.4798,-18.7708,,,zircon,Kröner et al. 2000,,719.3,0.4,2
Mad 50,Magmatic,No,,No,Madagascar,Madagascar - central,ANT,,gneiss enderbitic -  Zrc à 1636 Ma -  Zrc métamorphique à 550 Ma,47.7169,-18.8841,,,zircon,Kröner et al. 2000,,739.5,0.9,2
Mad 60,Magmatic,No,,No,Madagascar,Madagascar - central,ANT,,Charnockite -  Zrc à 1052 Ma,47.5708,-18.9013,,,zircon,Kröner et al. 2000,,741.2,0.9,2
Mad 61,Magmatic,No,,No,Madagascar,Madagascar - central,ANT,,gneiss charnockitique,47.5708,-18.9013,,,zircon,Kröner et al. 2000,,742.6,0.9,2
Mad 62,Magmatic,No,,No,Madagascar,Madagascar - central,ANT,,Charnockite dans Carion -  Zrc à 1007 Ma,47.7169,-18.8841,,,zircon,Kröner et al. 2000,,788.5,0.9,2
Mad 63,Magmatic,No,,No,Madagascar,Madagascar - central,ANT,,Granite de Carion,47.7502,-18.9011,,,zircon,Kröner et al. 2000,,537.6,1,2
Mad 64,Magmatic,No,,No,Madagascar,Madagascar - central,ANT,,gneiss Q-dioritique Angavo,47.9327,-18.9178,,,zircon,Kröner et al. 2000,,818,6,2
Mad 66,Magmatic,No,,No,Madagascar,Madagascar - central,ANT,,Orthogneiss granitique oeillé,48.4169,-18.9178,,,zircon,Kröner et al. 2000,,774,0.9,2
Mad 67,Magmatic,No,,No,Madagascar,Madagascar - central,ANT,,Orthogneiss granitique oeillé,48.4665,-18.9345,,,zircon,Kröner et al. 2000,,750,0.9,2
