Sample,Spot name,Collated,CoreRim,Sample protolith type,Country,Region,Region2,Domain,Lithology,Reference,Ref2,long,lat,age76,age76_2s,age638,age638_2s,age735,age735_2s,,
010201-5,C23,2,C,Detrital,India,India - Eastern Ghats/Cuddapah Basin,India - Eastern Ghats/Cuddapah Basin,0,"stromatic khondalite, with garnet bearing leucosomes, Chilka Lake",Upadhyay et al. 2009,0,85.58636111,20.10661111,1760,134,631,52,941,106,,
010201-5,C29,2,R,Detrital,India,India - Eastern Ghats/Cuddapah Basin,India - Eastern Ghats/Cuddapah Basin,0,"stromatic khondalite, with garnet bearing leucosomes, Chilka Lake",Upadhyay et al. 2009,0,85.58636111,20.10661111,701,88,696,34,697,44,,
010201-5,C35,2,R,Detrital,India,India - Eastern Ghats/Cuddapah Basin,India - Eastern Ghats/Cuddapah Basin,0,"stromatic khondalite, with garnet bearing leucosomes, Chilka Lake",Upadhyay et al. 2009,0,85.58636111,20.10661111,715,72,719,36,718,44,,
010201-5,C39,2,R,Detrital,India,India - Eastern Ghats/Cuddapah Basin,India - Eastern Ghats/Cuddapah Basin,0,"stromatic khondalite, with garnet bearing leucosomes, Chilka Lake",Upadhyay et al. 2009,0,85.58636111,20.10661111,717,66,636,26,654,34,,
010201-5,C37,2,R,Detrital,India,India - Eastern Ghats/Cuddapah Basin,India - Eastern Ghats/Cuddapah Basin,0,"stromatic khondalite, with garnet bearing leucosomes, Chilka Lake",Upadhyay et al. 2009,0,85.58636111,20.10661111,743,72,748,42,746,48,,
010201-5,C27,2,R,Detrital,India,India - Eastern Ghats/Cuddapah Basin,India - Eastern Ghats/Cuddapah Basin,0,"stromatic khondalite, with garnet bearing leucosomes, Chilka Lake",Upadhyay et al. 2009,0,85.58636111,20.10661111,764,68,774,44,771,50,,
010201-5,C36,2,R,Detrital,India,India - Eastern Ghats/Cuddapah Basin,India - Eastern Ghats/Cuddapah Basin,0,"stromatic khondalite, with garnet bearing leucosomes, Chilka Lake",Upadhyay et al. 2009,0,85.58636111,20.10661111,773,74,760,60,763,66,,
010201-5,C40,2,R,Detrital,India,India - Eastern Ghats/Cuddapah Basin,India - Eastern Ghats/Cuddapah Basin,0,"stromatic khondalite, with garnet bearing leucosomes, Chilka Lake",Upadhyay et al. 2009,0,85.58636111,20.10661111,775,62,748,50,755,54,,
010201-5,C33,2,R,Detrital,India,India - Eastern Ghats/Cuddapah Basin,India - Eastern Ghats/Cuddapah Basin,0,"stromatic khondalite, with garnet bearing leucosomes, Chilka Lake",Upadhyay et al. 2009,0,85.58636111,20.10661111,785,68,718,40,735,46,,
010201-5,C25,2,R,Detrital,India,India - Eastern Ghats/Cuddapah Basin,India - Eastern Ghats/Cuddapah Basin,0,"stromatic khondalite, with garnet bearing leucosomes, Chilka Lake",Upadhyay et al. 2009,0,85.58636111,20.10661111,787,56,821,44,812,48,,
